Chapter,Part,Section,Paragraph,Update Status,Title
,,,,,Appendix R - Patent Rules
I,,,,,"UNITED STATES PATENT AND TRADEMARK OFFICE, DEPARTMENT OF COMMERCE"
IA,,,,,GENERAL
IA,,,,,PATENTS
IA,1,,,,RULES OF PRACTICE IN PATENT CASES
IA,1A,,,,General Provisions
IA,1A,,,,GENERAL INFORMATION AND CORRESPONDENCE
IA,1A,1.1,,,Addresses for non-trademark correspondence with the United States Patent and Trademark Office.
IA,1A,1.2,,,Business to be transacted in writing.
IA,1A,1.3,,,Business to be conducted with decorum and courtesy.
IA,1A,1.4,,,Nature of correspondence and signature requirements.
IA,1A,1.5,,,"Identification of patent, patent application, or patent-related proceeding."
IA,1A,1.6,,,Receipt of correspondence.
IA,1A,1.7,,,"Times for taking action; Expiration on Saturday, Sunday or Federal holiday."
IA,1A,1.8,,,Certificate of mailing or transmission.
IA,1A,1.9,,,Definitions.
IA,1A,1.10,,,Filing of correspondence by Priority Mail Express
IA,1A,,,,RECORDS AND FILES OF THE PATENT AND TRADEMARK OFFICE
IA,1A,1.11,,,Files open to the public.
IA,1A,1.12,,,Assignment records open to public inspection.
IA,1A,1.12,,(pre-AIA),Assignment records open to public inspection.
IA,1A,1.13,,,Copies and certified copies.
IA,1A,1.14,,,Patent applications preserved in confidence.
IA,1A,1.14,,(pre-AIA),Patent applications preserved in confidence.
IA,1A,1.15,,,[Reserved]
IA,1A,,,,FEES AND PAYMENT OF MONEY
IA,1A,1.16,,,"National application filing, search, and examination fees."
IA,1A,1.17,,,Patent application and reexamination processing fees.
IA,1A,1.18,,,Patent post allowance (including issue) fees.
IA,1A,1.19,,,Document supply fees.
IA,1A,1.20,,,Post issuance fees.
IA,1A,1.21,,,Miscellaneous fees and charges.
IA,1A,1.22,,,Fees payable in advance.
IA,1A,1.23,,,Methods of payment.
IA,1A,1.24,,,[Reserved]
IA,1A,1.25,,,Deposit accounts.
IA,1A,1.26,,,Refunds.
IA,1A,1.27,,,Definition of small entities and establishing status as a small entity to permit payment of small entity fees; when a determination of entitlement to small entity status and notification of loss of entitlement to small entity status are required; fraud on the Office.
IA,1A,1.27,,(pre-AIA),Definition of small entities and establishing status as a small entity to permit payment of small entity fees; when a determination of entitlement to small entity status and notification of loss of entitlement to small entity status are required; fraud on the Office.
IA,1A,1.28,,,Refunds when small entity status is later established; how errors in small entity status are excused.
IA,1A,1.29,,,Micro entity status.
IA,1B,,,,National Processing Provisions
IA,1B,,,,PROSECUTION OF APPLICATION AND APPOINTMENT OF ATTORNEY OR AGENT
IA,1B,1.31,,,Applicant may be represented by one or more patent practitioners or joint inventors.
IA,1B,1.32,,,Power of attorney.
IA,1B,1.32,,(pre-AIA),Power of attorney.
IA,1B,1.33,,,"Correspondence respecting patent applications, reexamination proceedings, and other proceedings."
IA,1B,1.33,,(pre-AIA),"Correspondence respecting patent applications, reexamination proceedings, and other proceedings."
IA,1B,1.34,,,Acting in a representative capacity.
IA,1B,1.36,,,Revocation of power of attorney; withdrawal of patent attorney or agent.
IA,1B,1.36,,(pre-AIA),Revocation of power of attorney; withdrawal of patent attorney or agent.
IA,1B,,,,WHO MAY APPLY FOR A PATENT
IA,1B,1.41,,,Inventorship.
IA,1B,1.41,,(pre-AIA),Applicant for patent.
IA,1B,1.42,,,Applicant for patent.
IA,1B,1.42,,(pre-AIA),When the inventor is dead.
IA,1B,1.43,,,Application for patent by a legal representative of a deceased or legally incapacitated inventor.
IA,1B,1.43,,(pre-AIA),When the inventor is insane or legally incapacitated.
IA,1B,1.44,,,[Reserved]
IA,1B,1.45,,,Application for patent by joint inventors.
IA,1B,1.45,,(pre-AIA),Joint inventors.
IA,1B,1.46,,,"Application for patent by an assignee, obligated assignee, or a person who otherwise shows sufficient proprietary interest in the matter."
IA,1B,1.46,,(pre-AIA),Assigned inventions and patents.
IA,1B,1.47,,,[Removed and Reserved]
IA,1B,1.47,,(pre-AIA),Filing when an inventor refuses to sign or cannot be reached.
IA,1B,1.48,,,"Correction of inventorship pursuant to 35 U.S.C. 116 or correction of the name or order of names in a patent application, other than a reissue application."
IA,1B,,,,THE APPLICATION
IA,1B,1.51,,,General requisites of an application.
IA,1B,1.52,,,"Language, paper, writing, margins, compact disc specifications."
IA,1B,1.53,,,"Application number, filing date, and completion of application."
IA,1B,1.53,,(pre-PLT (AIA)),"Application number, filing date, and completion of application."
IA,1B,1.53,,(pre-AIA),"Application number, filing date, and completion of application."
IA,1B,1.54,,,Parts of application to be filed together; filing receipt.
IA,1B,1.55,,,Claim for foreign priority.
IA,1B,1.56,,,Duty to disclose information material to patentability.
IA,1B,1.56,,(pre-AIA),Duty to disclose information material to patentability.
IA,1B,1.57,,,Incorporation by reference.
IA,1B,1.57,,(pre-PLT),Incorporation by reference.
IA,1B,1.58,,,Chemical and mathematical formulae and tables.
IA,1B,1.59,,,Expungement of information or copy of papers in application file.
IA,1B,1.60,,,[Reserved]
IA,1B,1.61,,,[Reserved]
IA,1B,1.62,,,[Reserved]
IA,1B,,,,OATH OR DECLARATION
IA,1B,1.63,,,Inventor’s oath or declaration.
IA,1B,1.63,,(pre-AIA),Oath or declaration.
IA,1B,1.64,,,Substitute statement in lieu of an oath or declaration.
IA,1B,1.64,,(pre-AIA),Person making oath or declaration.
IA,1B,1.66,,,Statements under oath.
IA,1B,1.66,,(pre-AIA),Officers authorized to administer oaths.
IA,1B,1.67,,,Supplemental oath or declaration.
IA,1B,1.67,,(pre-AIA),Supplemental oath or declaration.
IA,1B,1.68,,,Declaration in lieu of oath.
IA,1B,1.69,,,Foreign language oaths and declarations.
IA,1B,1.70,,,[Reserved]
IA,1B,,,,SPECIFICATION
IA,1B,1.71,,,Detailed description and specification of the invention.
IA,1B,1.72,,,Title and abstract.
IA,1B,1.73,,,Summary of the invention.
IA,1B,1.74,,,Reference to drawings.
IA,1B,1.75,,,Claim(s).
IA,1B,1.76,,,Application data sheet.
IA,1B,1.76,,(2012-09-16 thru 2013-12-17),Application data sheet.
IA,1B,1.76,,(pre-AIA),Application data sheet.
IA,1B,1.77,,,Arrangement of application elements.
IA,1B,1.78,,,Claiming benefit of earlier filing date and cross-references to other applications.
IA,1B,1.79,,,Reservation clauses not permitted.
IA,1B,,,,THE DRAWINGS
IA,1B,1.81,,,Drawings required in patent application.
IA,1B,1.81,,(2012-09-16 thru 2013-12-17),Drawings required in patent application.
IA,1B,1.81,,(pre-AIA),Drawings required in patent application.
IA,1B,1.83,,,Content of drawing.
IA,1B,1.84,,,Standards for drawings.
IA,1B,1.85,,,Corrections to drawings.
IA,1B,1.88,,,[Reserved]
IA,1B,,,,"MODELS, EXHIBITS, SPECIMENS"
IA,1B,1.91,,,Models or exhibits not generally admitted as part of application or patent.
IA,1B,1.92,,,[Reserved]
IA,1B,1.93,,,Specimens.
IA,1B,1.94,,,"Return of models, exhibits or specimens."
IA,1B,1.95,,,Copies of exhibits.
IA,1B,1.96,,,Submission of computer program listings.
IA,1B,,,,INFORMATION DISCLOSURE STATEMENT
IA,1B,1.97,,,Filing of information disclosure statement.
IA,1B,1.98,,,Content of information disclosure statement.
IA,1B,1.99,,,[Reserved]
IA,1B,,,,EXAMINATION OF APPLICATIONS
IA,1B,1.101,,,[Reserved]
IA,1B,1.102,,,Advancement of examination.
IA,1B,1.103,,,Suspension of action by the Office.
IA,1B,1.104,,,Nature of examination.
IA,1B,1.105,,,Requirements for information.
IA,1B,1.105,,(pre-AIA),Requirements for information.
IA,1B,1.106,,,[Reserved]
IA,1B,1.107,,,[Reserved]
IA,1B,1.108,,,[Reserved]
IA,1B,1.109,,,Effective filing date of a claimed invention under the Leahy-Smith America Invents Act.
IA,1B,1.110,,,Inventorship and ownership of the subject matter of individual claims.
IA,1B,,,,ACTION BY APPLICANT AND FURTHER CONSIDERATION
IA,1B,1.111,,,Reply by applicant or patent owner to a non-final Office action.
IA,1B,1.112,,,Reconsideration before final action.
IA,1B,1.113,,,Final rejection or action.
IA,1B,1.114,,,Request for continued examination.
IA,1B,,,,AMENDMENTS
IA,1B,1.115,,,Preliminary amendments.
IA,1B,1.116,,,Amendments and affidavits or other evidence after final action and prior to appeal.
IA,1B,1.117,,,[Reserved]
IA,1B,1.118,,,[Reserved]
IA,1B,1.119,,,[Reserved]
IA,1B,1.121,,,Manner of making amendments in applications.
IA,1B,1.122,,,[Reserved]
IA,1B,1.123,,,[Reserved]
IA,1B,1.124,,,[Reserved]
IA,1B,1.125,,,Substitute specification.
IA,1B,1.126,,,Numbering of claims.
IA,1B,1.127,,,Petition from refusal to admit amendment.
IA,1B,,,,TRANSITIONAL PROVISIONS
IA,1B,1.129,,,Transitional procedures for limited examination after final rejection and restriction practice.
IA,1B,,,,AFFIDAVITS OVERCOMING REJECTIONS
IA,1B,1.130,,,Affidavit or declaration of attribution or prior public disclosure under the Leahy-Smith America Invents Act.
IA,1B,1.131,,,Affidavit or declaration of prior invention or to disqualify commonly owned patent or published application as prior art.
IA,1B,1.132,,,Affidavits or declarations traversing rejections or objections.
IA,1B,,,,INTERVIEWS
IA,1B,1.133,,,Interviews.
IA,1B,,,,TIME FOR REPLY BY APPLICANT; ABANDONMENT OF APPLICATION
IA,1B,1.134,,,Time period for reply to an Office action.
IA,1B,1.135,,,Abandonment for failure to reply within time period.
IA,1B,1.136,,,Extensions of time.
IA,1B,1.137,,,"Revival of abandoned application, or terminated or limited reexamination prosecution."
IA,1B,1.138,,,Express abandonment.
IA,1B,1.139,,,[Reserved]
IA,1B,,,,JOINDER OF INVENTIONS IN ONE APPLICATION; RESTRICTION
IA,1B,1.141,,,Different inventions in one national application.
IA,1B,1.142,,,Requirement for restriction.
IA,1B,1.143,,,Reconsideration of requirement.
IA,1B,1.144,,,Petition from requirement for restriction.
IA,1B,1.145,,,Subsequent presentation of claims for different invention.
IA,1B,1.146,,,Election of species.
IA,1B,,,,DESIGN PATENTS
IA,1B,1.151,,,Rules applicable.
IA,1B,1.152,,,Design drawings.
IA,1B,1.153,,,"Title, description and claim, oath or declaration."
IA,1B,1.153,,(pre-AIA),"Title, description and claim, oath or declaration."
IA,1B,1.154,,,Arrangement of application elements in a design application.
IA,1B,1.155,,,Expedited examination of design applications.
IA,1B,,,,PLANT PATENTS
IA,1B,1.161,,,Rules applicable.
IA,1B,1.162,,,"Applicant, oath or declaration."
IA,1B,1.162,,(pre-AIA),"Applicant, oath or declaration."
IA,1B,1.163,,,Specification and arrangement of application elements in a plant application.
IA,1B,1.164,,,Claim.
IA,1B,1.165,,,Plant Drawings.
IA,1B,1.166,,,Specimens.
IA,1B,1.167,,,Examination.
IA,1B,,,,REISSUES
IA,1B,1.171,,,Application for reissue.
IA,1B,1.172,,,Reissue applicant.
IA,1B,1.172,,(pre-AIA),"Applicants, assignees."
IA,1B,1.173,,,"Reissue specification, drawings, and amendments."
IA,1B,1.174,,,[Reserved]
IA,1B,1.175,,,Inventor’s oath or declaration for a reissue application.
IA,1B,1.175,,(pre-AIA),Reissue oath or declaration.
IA,1B,1.176,,,Examination of reissue.
IA,1B,1.177,,,Issuance of multiple reissue patents.
IA,1B,1.178,,,Original patent; continuing duty of applicant.
IA,1B,1.179,,,[Reserved]
IA,1B,,,,PETITIONS AND ACTION BY THE DIRECTOR
IA,1B,1.181,,,Petition to the Director.
IA,1B,1.182,,,Questions not specifically provided for.
IA,1B,1.183,,,Suspension of rules.
IA,1B,1.184,,,[Reserved]
IA,1B,,,,APPEAL TO THE PATENT TRIAL AND APPEAL BOARD
IA,1B,1.191,,,Appeal to Patent Trial and Appeal Board.
IA,1B,1.192,,,[Reserved]
IA,1B,1.193,,,[Reserved]
IA,1B,1.194,,,[Reserved]
IA,1B,1.195,,,[Reserved]
IA,1B,1.196,,,[Reserved]
IA,1B,1.197,,,Termination of proceedings.
IA,1B,1.198,,,Reopening after a final decision of the Patent Trial and Appeal Board.
IA,1B,,,,PUBLICATION OF APPLICATIONS
IA,1B,1.211,,,Publication of applications.
IA,1B,1.211,,(pre-AIA),Publication of applications.
IA,1B,1.213,,,Nonpublication request.
IA,1B,1.215,,,Patent application publication.
IA,1B,1.215,,(pre-AIA),Patent application publication.
IA,1B,1.217,,,Publication of a redacted copy of an application.
IA,1B,1.219,,,Early publication.
IA,1B,1.221,,,Voluntary publication or republication of patent application publication.
IA,1B,,,,MISCELLANEOUS PROVISIONS
IA,1B,1.248,,,Service of papers; manner of service; proof of service in cases other than interferences and trials.
IA,1B,1.251,,,Unlocatable file.
IA,1B,1.265,,,[Removed]
IA,1B,,,,PREISSUANCE SUBMISSIONS AND PROTESTS BY THIRD PARTIES
IA,1B,1.290,,,Submissions by third parties in applications.
IA,1B,1.291,,,Protests by the public against pending applications.
IA,1B,1.292,,,[Reserved]
IA,1B,1.293,,,[Reserved]
IA,1B,1.293,,(pre-2013-03-16),Statutory invention registration.
IA,1B,1.294,,,[Reserved]
IA,1B,1.294,,(pre-2013-03-16),Examination of request for publication of a statutory invention registration and patent application to which the request is directed.
IA,1B,1.295,,,[Reserved]
IA,1B,1.295,,(pre-2013-03-16),Review of decision finally refusing to publish a statutory invention registration.
IA,1B,1.296,,,[Reserved]
IA,1B,1.296,,(pre-2013-03-16),Withdrawal of request for publication of statutory invention registration.
IA,1B,1.297,,,[Reserved]
IA,1B,1.297,,(pre-2013-03-16),Publication of statutory invention registration.
IA,1B,,,,REVIEW OF PATENT AND TRADEMARK OFFICE DECISIONS BY COURT
IA,1B,1.301,,,[Reserved]
IA,1B,1.302,,,[Reserved]
IA,1B,1.303,,,[Reserved]
IA,1B,1.304,,,[Reserved]
IA,1B,,,,ALLOWANCE AND ISSUE OF PATENT
IA,1B,1.311,,,Notice of Allowance.
IA,1B,1.312,,,Amendments after allowance.
IA,1B,1.313,,,Withdrawal from issue.
IA,1B,1.314,,,Issuance of patent.
IA,1B,1.315,,,Delivery of patent.
IA,1B,1.316,,,Application abandoned for failure to pay issue fee.
IA,1B,1.317,,,[Reserved]
IA,1B,1.318,,,[Reserved]
IA,1B,,,,DISCLAIMER
IA,1B,1.321,,,"Statutory disclaimers, including terminal disclaimers."
IA,1B,1.321,,(pre-AIA),"Statutory disclaimers, including terminal disclaimers."
IA,1B,,,,CORRECTION OF ERRORS IN PATENT
IA,1B,1.322,,,Certificate of correction of Office mistake.
IA,1B,1.323,,,Certificate of correction of applicant’s mistake.
IA,1B,1.324,,,"Correction of inventorship in patent, pursuant to 35 U.S.C. 256."
IA,1B,1.325,,,Other mistakes not corrected.
IA,1B,,,,ARBITRATION AWARDS
IA,1B,1.331,,,[Reserved]
IA,1B,1.332,,,[Reserved]
IA,1B,1.333,,,[Reserved]
IA,1B,1.334,,,[Reserved]
IA,1B,1.335,,,Filing of notice of arbitration awards.
IA,1B,,,,AMENDMENT OF RULES
IA,1B,1.351,,,Amendments to rules will be published.
IA,1B,1.352,,,[Reserved]
IA,1B,,,,MAINTENANCE FEES
IA,1B,1.362,,,Time for payment of maintenance fees.
IA,1B,1.363,,,Fee address for maintenance fee purposes.
IA,1B,1.366,,,Submission of maintenance fees.
IA,1B,1.377,,,Review of decision refusing to accept and record payment of a maintenance fee filed prior to expiration of patent.
IA,1B,1.378,,,Acceptance of delayed payment of maintenance fee in expired patent to reinstate patent.
IA,1C,,,,International Processing Provisions
IA,1C,,,,GENERAL INFORMATION
IA,1C,1.401,,,Definitions of terms under the Patent Cooperation Treaty.
IA,1C,1.412,,,The United States Receiving Office.
IA,1C,1.413,,,The United States International Searching Authority.
IA,1C,1.414,,,The United States Patent and Trademark Office as a Designated Office or Elected Office.
IA,1C,1.415,,,The International Bureau.
IA,1C,1.416,,,The United States International Preliminary Examining Authority.
IA,1C,1.417,,,Submission of translation of international publication.
IA,1C,1.419,,,Display of currently valid control number under the Paperwork Reduction Act.
IA,1C,,,,WHO MAY FILE AN INTERNATIONAL APPLICATION
IA,1C,1.421,,,Applicant for international application.
IA,1C,1.421,,(pre-AIA),Applicant for international application.
IA,1C,1.422,,,Legal representative as applicant in an international application.
IA,1C,1.422,,(pre-AIA),When the inventor is dead.
IA,1C,1.423,,,[Removed and Reserved]
IA,1C,1.423,,(pre-AIA),When the inventor is insane or legally incapacitated.
IA,1C,1.424,,,"Assignee, obligated assignee, or person having sufficient proprietary interest as applicant in an international application."
IA,1C,1.425,,,[Reserved]
IA,1C,,,,THE INTERNATIONAL APPLICATION
IA,1C,1.431,,,International application requirements.
IA,1C,1.431,,(pre-AIA),International application requirements.
IA,1C,1.432,,,Designation of States by filing an international application.
IA,1C,1.433,,,Physical requirements of international application.
IA,1C,1.434,,,The request.
IA,1C,1.435,,,The description.
IA,1C,1.436,,,The claims.
IA,1C,1.437,,,The drawings.
IA,1C,1.438,,,The abstract.
IA,1C,,,,FEES
IA,1C,1.445,,,"International application filing, processing and search fees."
IA,1C,1.446,,,Refund of international application filing and processing fees.
IA,1C,,,,PRIORITY
IA,1C,1.451,,,The priority claim and priority document in an international application.
IA,1C,1.452,,,Restoration of right of priority.
IA,1C,1.453,,,Transmittal of documents relating to earlier search or classification.
IA,1C,,,,REPRESENTATION
IA,1C,1.455,,,Representation in international applications.
IA,1C,,,,TRANSMITTAL OF RECORD COPY
IA,1C,1.461,,,Procedures for transmittal of record copy to the International Bureau.
IA,1C,,,,TIMING
IA,1C,1.465,,,Timing of application processing based on the priority date.
IA,1C,1.468,,,Delays in meeting time limits.
IA,1C,,,,AMENDMENTS
IA,1C,1.471,,,Corrections and amendments during international processing.
IA,1C,1.472,,,"Changes in person, name, or address of applicants and inventors."
IA,1C,,,,UNITY OF INVENTION
IA,1C,1.475,,,"Unity of invention before the International Searching Authority, the International Preliminary Examining Authority and during the national stage."
IA,1C,1.476,,,Determination of unity of invention before the International Searching Authority.
IA,1C,1.477,,,Protest to lack of unity of invention before the International Searching Authority.
IA,1C,,,,INTERNATIONAL PRELIMINARY EXAMINATION
IA,1C,1.480,,,Demand for international preliminary examination.
IA,1C,1.481,,,Payment of international preliminary examination fees.
IA,1C,1.482,,,International preliminary examination fees.
IA,1C,1.484,,,Conduct of international preliminary examination.
IA,1C,1.485,,,Amendments by applicant during international preliminary examination.
IA,1C,1.488,,,Determination of unity of invention before the International Preliminary Examining Authority.
IA,1C,1.489,,,Protest to lack of unity of invention before the International Preliminary Examining Authority.
IA,1C,,,,NATIONAL STAGE
IA,1C,1.491,,,"National stage commencement, entry, and fulfillment."
IA,1C,1.491,,(pre-AIA),National stage commencement and entry.
IA,1C,1.492,,,National stage fees.
IA,1C,1.494,,,[Reserved]
IA,1C,1.495,,,Entering the national stage in the United States of America.
IA,1C,1.495,,(pre-AIA),Entering the national stage in the United States of America.
IA,1C,1.496,,,Examination of international applications in the national stage.
IA,1C,1.497,,,Inventor’s oath or declaration under 35 U.S.C. 371(c)(4).
IA,1C,1.497,,(pre-AIA),Oath or declaration under 35 U.S.C. 371(c)(4).
IA,1C,1.499,,,Unity of invention during the national stage.
IA,1D,,,,Ex Parte Reexamination of Patents
IA,1D,,,,CITATION OF PRIOR ART AND WRITTEN STATEMENTS
IA,1D,1.501,,,Citation of prior art and written statements in patent files.
IA,1D,1.502,,,Processing of prior art citations during an
IA,1D,,,,REQUEST FOR
IA,1D,1.510,,,Request for
IA,1D,1.515,,,Determination of the request for
IA,1D,1.52,,,0
IA,1D,,,,
IA,1D,1.525,,,Order for
IA,1D,1.530,,,Statement by patent owner in
IA,1D,1.535,,,Reply by third party requester in
IA,1D,1.540,,,Consideration of responses in
IA,1D,1.550,,,Conduct of
IA,1D,1.552,,,Scope of reexamination in
IA,1D,1.555,,,Information material to patentability in
IA,1D,1.560,,,Interviews in
IA,1D,1.565,,,Concurrent office proceedings which include an
IA,1D,,,,CERTIFICATE
IA,1D,1.570,,,Issuance and publication of
IA,1E,,,,Supplemental Examination of Patents
IA,1E,1.601,,,Filing of papers in supplemental examination.
IA,1E,1.605,,,Items of information.
IA,1E,1.610,,,Content of request for supplemental examination.
IA,1E,1.615,,,Format of papers filed in a supplemental examination proceeding.
IA,1E,1.620,,,Conduct of supplemental examination proceeding.
IA,1E,1.625,,,Conclusion of supplemental examination; publication of supplemental examination certificate; procedure after conclusion.
IA,1F,,,,Adjustment and Extension of Patent Term
IA,1F,,,,ADJUSTMENT OF PATENT TERM DUE TO EXAMINATION DELAY
IA,1F,1.701,,,"Extension of patent term due to examination delay under the Uruguay Round Agreements Act (original applications, other than designs, filed on or after June 8, 1995, and before May 29, 2000)."
IA,1F,1.702,,,"Grounds for adjustment of patent term due to examination delay under the Patent Term Guarantee Act of 1999 (original applications, other than designs, filed on or after May 29, 2000)."
IA,1F,1.702,,(pre-2013-04-01),"Grounds for adjustment of patent term due to examination delay under the Patent Term Guarantee Act of 1999 (original applications, other than designs, filed on or after May 29, 2000)."
IA,1F,1.703,,,Period of adjustment of patent term due to examination delay.
IA,1F,1.703,,(2012-09-17 thru 2013-03-31),Period of adjustment of patent term due to examination delay.
IA,1F,1.703,,(pre-2012-09-17),Period of adjustment of patent term due to examination delay.
IA,1F,1.704,,,Reduction of period of adjustment of patent term.
IA,1F,1.704,,(2013-12-18 thru 2015-03-09),Reduction of period of adjustment of patent term.
IA,1F,1.704,,(2012-09-17 thru 2013-12-17),Reduction of period of adjustment of patent term.
IA,1F,1.704,,(pre-2013-03-31),Reduction of period of adjustment of patent term.
IA,1F,1.704,,(pre-2012-09-17),Reduction of period of adjustment of patent term.
IA,1F,1.705,,,Patent term adjustment determination.
IA,1F,1.705,,(pre-2013-04-01),Patent term adjustment determination.
IA,1F,,,,EXTENSION OF PATENT TERM DUE TO REGULATORY REVIEW
IA,1F,1.710,,,Patents subject to extension of the patent term.
IA,1F,1.720,,,Conditions for extension of patent term.
IA,1F,1.730,,,Applicant for extension of patent term; signature requirements.
IA,1F,1.740,,,Formal requirements for application for extension of patent term; correction of informalities.
IA,1F,1.741,,,Complete application given a filing date; petition procedure.
IA,1F,1.750,,,Determination of eligibility for extension of patent term.
IA,1F,1.760,,,Interim extension of patent term under
IA,1F,1.765,,,Duty of disclosure in patent term extension proceedings.
IA,1F,1.770,,,Express withdrawal of application for extension of patent term.
IA,1F,1.775,,,"Calculation of patent term extension for a human drug, antibiotic drug, or human biological product."
IA,1F,1.776,,,Calculation of patent term extension for a food additive or color additive.
IA,1F,1.777,,,Calculation of patent term extension for a medical device.
IA,1F,1.778,,,Calculation of patent term extension for an animal drug product.
IA,1F,1.779,,,Calculation of patent term extension for a veterinary biological product.
IA,1F,1.780,,,Certificate or order of extension of patent term.
IA,1F,1.785,,,Multiple applications for extension of term of the same patent or of different patents for the same regulatory review period for a product.
IA,1F,1.790,,,Interim extension of patent term under
IA,1F,1.791,,,Termination of interim extension granted prior to regulatory approval of a product for commercial marketing or use.
IA,1G,,,,Biotechnology Invention Disclosures
IA,1G,,,,DEPOSIT OF BIOLOGICAL MATERIAL
IA,1G,1.801,,,Biological material.
IA,1G,1.802,,,Need or opportunity to make a deposit.
IA,1G,1.803,,,Acceptable depository.
IA,1G,1.804,,,Time of making an original deposit.
IA,1G,1.805,,,Replacement or supplement of deposit.
IA,1G,1.806,,,Term of deposit.
IA,1G,1.807,,,Viability of deposit.
IA,1G,1.808,,,Furnishing of samples.
IA,1G,1.809,,,Examination procedures.
IA,1G,,,,APPLICATION DISCLOSURES CONTAINING NUCLEOTIDE AND/OR AMINO ACID SEQUENCES
IA,1G,1.821,,,Nucleotide and/or amino acid sequence disclosures in patent applications.
IA,1G,1.822,,,Symbols and format to be used for nucleotide and/or amino acid sequence data.
IA,1G,1.823,,,Requirements for nucleotide and/or amino acid sequences as part of the application.
IA,1G,1.824,,,Form and format for nucleotide and/or amino acid sequence submissions in computer readable form.
IA,1G,1.825,,,Amendments to or replacement of sequence listing and computer readable copy thereof.
IA,1G,,,,
IA,1H,,,,
IA,1H,,,,PRIOR ART CITATIONS
IA,1H,1.902,,,Processing of prior art citations during an
IA,1H,,,,REQUIREMENTS FOR
IA,1H,1.903,,,Service of papers on parties in
