Chapter,Part,Section,Paragraph,Update Status,Title
IA,1H,1.904,,,Notice of
IA,1H,1.905,,,Submission of papers by the public in
IA,1H,1.906,,,Scope of reexamination in
IA,1H,1.90,,,7
IA,1H,1.913,,,"Persons eligible to file, and time for filing, a request for"
IA,1H,1.915,,,Content of request for
IA,1H,1.919,,,Filing date of request for
IA,1H,1.923,,,Examiner’s determination on the request for
IA,1H,1.925,,,Partial refund if request for
IA,1H,1.927,,,Petition to review refusal to order
IA,1H,,,,
IA,1H,1.931,,,Order for
IA,1H,,,,INFORMATION DISCLOSURE IN
IA,1H,1.933,,,Patent owner duty of disclosure in
IA,1H,,,,OFFICE ACTIONS AND RESPONSES (BEFORE THE EXAMINER) IN
IA,1H,1.935,,,Initial Office action usually accompanies order for
IA,1H,1.937,,,Conduct of
IA,1H,1.939,,,Unauthorized papers in
IA,1H,1.941,,,Amendments by patent owner in
IA,1H,1.943,,,"Requirements of responses, written comments, and briefs in"
IA,1H,1.945,,,Response to Office action by patent owner in
IA,1H,1.947,,,Comments by third party requester to patent owner’s response in
IA,1H,1.948,,,Limitations on submission of prior art by third party requester following the order for
IA,1H,1.949,,,Examiner’s Office action closing prosecution in
IA,1H,1.951,,,Options after Office action closing prosecution in
IA,1H,1.953,,,Examiner’s Right of Appeal Notice in
IA,1H,,,,INTERVIEWS PROHIBITED IN
IA,1H,1.955,,,Interviews prohibited in
IA,1H,,,,"EXTENSIONS OF TIME, TERMINATING OF REEXAMINATION PROSECUTION, AND PETITIONS TO REVIVE IN"
IA,1H,1.956,,,Patent owner extensions of time in
IA,1H,1.957,,,"Failure to file a timely, appropriate or complete response or comment in"
IA,1H,1.958,,,Petition to revive
IA,1H,,,,APPEAL TO THE PATENT TRIAL AND APPEAL BOARD IN
IA,1H,1.959,,,Appeal in
IA,1H,1.961,,,- 1.977 [Reserved]
IA,1H,1.979,,,Return of Jurisdiction from the Patent Trial and Appeal Board; termination of appeal proceedings.
IA,1H,1.981,,,Reopening after a final decision of the Patent Trial and Appeal Board.
IA,1H,,,,APPEAL TO THE UNITED STATES COURT OF APPEALS FOR THE FEDERAL CIRCUIT IN
IA,1H,1.983,,,Appeal to the United States Court of Appeals for the Federal Circuit in
IA,1H,,,,CONCURRENT PROCEEDINGS INVOLVING SAME PATENT IN
IA,1H,1.985,,,Notification of prior or concurrent proceedings in
IA,1H,1.987,,,Suspension of
IA,1H,1.989,,,Merger of concurrent reexamination proceedings.
IA,1H,1.991,,,Merger of concurrent reissue application and
IA,1H,1.993,,,Suspension of concurrent interference and
IA,1H,1.995,,,Third party requester’s participation rights preserved in merged proceeding.
IA,1H,,,,REEXAMINATION CERTIFICATE IN
IA,1H,1.997,,,Issuance and publication of
IA,1I,,,,International Design Application
IA,1I,,,,General Information
IA,1I,1.1001,,,Definitions related to international design applications.
IA,1I,1.1002,,,The United States Patent and Trademark Office as an office of indirect filing.
IA,1I,1.1003,,,The United States Patent and Trademark Office as a designated office.
IA,1I,1.1004,,,The International Bureau.
IA,1I,1.1005,,,Display of currently valid control number under the Paperwork Reduction Act.
IA,1I,,,,WHO MAY FILE AN INTERNATIONAL DESIGN APPLICATION
IA,1I,1.1011,,,Applicant for international design application.
IA,1I,1.1012,,,Applicant’s Contracting Party.
IA,1I,,,,THE INTERNATIONAL DESIGN APPLICATION
IA,1I,1.1021,,,Contents of the international design application.
IA,1I,1.1022,,,Form and signature.
IA,1I,1.1023,,,Filing date of an international design application in the United States.
IA,1I,1.1024,,,The description.
IA,1I,1.1025,,,The claim.
IA,1I,1.1026,,,Reproductions.
IA,1I,1.1027,,,Specimens.
IA,1I,1.1028,,,Deferment of publication.
IA,1I,,,,FEES
IA,1I,1.1031,,,International design application fees.
IA,1I,,,,REPRESENTATION
IA,1I,1.1041,,,Representation in an international design application.
IA,1I,1.1042,,,Correspondence respecting international design applications filed with the Office as an office of indirect filing.
IA,1I,,,,TRANSMITTAL OF INTERNATIONAL DESIGN APPLICATION TO THE INTERNATIONAL BUREAU
IA,1I,1.1045,,,Procedures for transmittal of international design application to the International Bureau.
IA,1I,,,,RELIEF FROM PRESCRIBED TIME LIMITS; CONVERSION TO A DESIGN APPLICATION UNDER 35 U.S.C. CHAPTER 16
IA,1I,1.1051,,,Relief from prescribed time limits.
IA,1I,1.1052,,,Conversion to a design application under 35 U.S.C. chapter 16.
IA,1I,,,,NATIONAL PROCESSING OF INTERNATIONAL DESIGN APPLICATIONS
IA,1I,1.1061,,,Rules applicable.
IA,1I,1.1062,,,Examination.
IA,1I,1.1063,,,Notification of Refusal.
IA,1I,1.1064,,,One independent and distinct design.
IA,1I,1.1065,,,Corrections and other changes in the International Register.
IA,1I,1.1066,,,Correspondence address for a nonprovisional international design application.
IA,1I,1.1067,,,"Title, description, and inventor’s oath or declaration."
IA,1I,1.1068,,,Statement of grant of protection.
IA,1I,1.1070,,,Notification of Invalidation.
IA,1I,1.1071,,,Grant of protection for an industrial design only upon issuance of a patent.
IA,3,,,,"ASSIGNMENT, RECORDING AND RIGHTS OF ASSIGNEE"
IA,3,3.1,,,Definitions.
IA,3,,,,DOCUMENTS ELIGIBLE FOR RECORDING
IA,3,3.11,,,Documents which will be recorded.
IA,3,3.16,,,Assignability of trademarks prior to filing an allegation of use.
IA,3,,,,REQUIREMENTS FOR RECORDING
IA,3,3.21,,,Identification of patents and patent applications.
IA,3,3.24,,,Requirements for documents and cover sheets relating to patents and patent applications.
IA,3,3.25,,,Recording requirements for trademark applications and registrations.
IA,3,3.26,,,English language requirement.
IA,3,3.27,,,Mailing address for submitting documents to be recorded.
IA,3,3.28,,,Requests for recording.
IA,3,,,,COVER SHEET REQUIREMENTS
IA,3,3.31,,,Cover sheet content.
IA,3,3.34,,,Correction of cover sheet errors.
IA,3,,,,FEES
IA,3,3.41,,,Recording fees.
IA,3,,,,DATE AND EFFECT OF RECORDING
IA,3,3.51,,,Recording date.
IA,3,3.54,,,Effect of recording.
IA,3,3.56,,,Conditional assignments.
IA,3,3.58,,,Governmental registers.
IA,3,,,,DOMESTIC REPRESENTATIVE
IA,3,3.61,,,Domestic representative.
IA,3,,,,ACTION TAKEN BY ASSIGNEE
IA,3,3.71,,,Prosecution by assignee.
IA,3,3.71,,(pre-AIA),Prosecution by assignee.
IA,3,3.73,,,Establishing right of assignee to take action.
IA,3,3.73,,(pre-AIA),Establishing right of assignee to take action.
IA,3,,,,ISSUANCE TO ASSIGNEE
IA,3,3.81,,,Issue of patent to assignee.
IA,3,3.85,,,Issue of registration to assignee.
IA,4,,,,COMPLAINTS REGARDING INVENTION PROMOTERS
IA,4,4.1,,,Complaints Regarding Invention Promoters.
IA,4,4.2,,,Definitions.
IA,4,4.3,,,Submitting Complaints.
IA,4,4.4,,,Invention Promoter Reply.
IA,4,4.5,,,Notice by Publication.
IA,4,4.6,,,Attorneys and Agents.
IA,5,,,,SECRECY OF CERTAIN INVENTIONS AND LICENSES TO EXPORT AND FILE APPLICATIONS IN FOREIGN COUNTRIES
IA,5,,,,SECRECY
IA,5,5.1,,,Applications and correspondence involving national security.
IA,5,5.2,,,Secrecy order.
IA,5,5.3,,,Prosecution of application under secrecy orders; withholding patent.
IA,5,5.4,,,Petition for rescission of secrecy order.
IA,5,5.5,,,Permit to disclose or modification of secrecy order.
IA,5,5.6,,,[Reserved]
IA,5,5.7,,,[Reserved]
IA,5,5.8,,,[Reserved]
IA,5,,,,LICENSES FOR FOREIGN EXPORTING AND FILING
IA,5,5.11,,,"License for filing in, or exporting to, a foreign country an application on an invention made in the United States or technical data relating thereto."
IA,5,5.12,,,Petition for license.
IA,5,5.13,,,Petition for license; no corresponding application.
IA,5,5.14,,,Petition for license; corresponding U.S. application.
IA,5,5.15,,,Scope of license.
IA,5,5.16,,,[Reserved]
IA,5,5.17,,,[Reserved]
IA,5,5.18,,,"Arms, ammunition, and implements of war."
IA,5,5.19,,,Export of technical data.
IA,5,5.20,,,Export of technical data relating to sensitive nuclear technology.
IA,5,5.25,,,Petition for retroactive license.
IA,5,,,,GENERAL
IA,5,5.31,,,[Reserved]
IA,5,5.32,,,[Reserved]
IA,5,5.33,,,[Reserved]
IA,5,,,,Index I RULES RELATING TO PATENTS
IA,5,,,,PRACTICE BEFORE THE PATENT AND TRADEMARK OFFICE
IA,10,,,,[Reserved]
IA,11,,,,REPRESENTATION OF OTHERS BEFORE THE UNITED STATES PATENT AND TRADEMARK OFFICE
IA,11A,,,,General Provisions
IA,11A,,,,GENERAL INFORMATION
IA,11A,11.1,,,Definitions.
IA,11A,11.2,,,Director of the Office of Enrollment and Discipline.
IA,11A,11.3,,,Suspension of rules.
IA,11B,,,,Recognition To Practice Before the USPTO
IA,11B,,,,"PATENTS, TRADEMARKS, AND OTHER NON-PATENT LAW"
IA,11B,11.4,,,[Reserved]
IA,11B,11.5,,,Register of attorneys and agents in patent matters; practice before the office.
IA,11B,11.6,,,Registration of attorneys and agents.
IA,11B,11.7,,,Requirements for registration.
IA,11B,11.8,,,Oath and registration fee.
IA,11B,11.9,,,Limited recognition in patent matters.
IA,11B,11.10,,,Restrictions on practice in patent matters.
IA,11B,11.11,,,"Administrative suspension, inactivation, resignation, and readmission."
IA,11B,11.12,,,- 11.13 [Reserved]
IA,11B,11.14,,,Individuals who may practice before the Office in trademark and other non-patent matters.
IA,11B,11.15,,,Refusal to recognize a practitioner.
IA,11B,11.16,,,Requirements for admission to the USPTO Law School Clinic Certification Program.
IA,11B,11.17,,,Requirements for participation in the USPTO Law School Clinic Certification Program.
IA,11B,11.18,,,Signature and certificate for correspondence filed in the Office.
IA,11C,,,,"Investigations and Disciplinary Proceedings; Jurisdiction, Sanctions, Investigations, and Proceedings"
IA,11C,11.19,,,Disciplinary jurisdiction; Jurisdiction to transfer to disability inactive status.
IA,11C,11.20,,,Disciplinary sanctions; Transfer to disability inactive status.
IA,11C,11.21,,,Warnings.
IA,11C,11.22,,,Disciplinary Investigations.
IA,11C,11.23,,,Committee on Discipline.
IA,11C,11.24,,,Reciprocal discipline.
IA,11C,11.25,,,Interim suspension and discipline based upon conviction of committing a serious crime.
IA,11C,11.26,,,Settlement.
IA,11C,11.27,,,Exclusion on consent.
IA,11C,11.28,,,Incapacitated practitioners in a disciplinary proceeding.
IA,11C,11.29,,,Reciprocal transfer or initial transfer to disability inactive status.
IA,11C,11.30,,,- 11.31 [Reserved]
IA,11C,11.32,,,Instituting a disciplinary proceeding.
IA,11C,11.33,,,[Reserved]
IA,11C,11.34,,,Complaint.
IA,11C,11.35,,,Service of complaint.
IA,11C,11.36,,,Answer to complaint.
IA,11C,11.37,,,[Reserved]
IA,11C,11.38,,,Contested case.
IA,11C,11.39,,,Hearing officer; appointment; responsibilities; review of interlocutory orders; stays.
IA,11C,11.40,,,Representative for OED Director or respondent.
IA,11C,11.41,,,Filing of papers.
IA,11C,11.42,,,Service of papers.
IA,11C,11.43,,,Motions.
IA,11C,11.44,,,Hearings.
IA,11C,11.45,,,Amendment of pleadings.
IA,11C,11.46,,,- 11.48 [Reserved]
IA,11C,11.49,,,Burden of proof.
IA,11C,11.50,,,Evidence.
IA,11C,11.51,,,Depositions.
IA,11C,11.52,,,Discovery.
IA,11C,11.53,,,Proposed findings and conclusions; post-hearing memorandum.
IA,11C,11.54,,,Initial decision of hearing officer.
IA,11C,11.55,,,Appeal to the USPTO Director.
IA,11C,11.56,,,Decision of the USPTO Director.
IA,11C,11.57,,,Review of final decision of the USPTO Director.
IA,11C,11.58,,,"Duties of disciplined or resigned practitioner, or practitioner on disability inactive status."
IA,11C,11.59,,,Dissemination of disciplinary and other information.
IA,11C,11.60,,,Petition for reinstatement.
IA,11C,11.61,,,[Reserved]
IA,11C,11.62,,,-11.99 [Reserved]
IA,11D,,,,USPTO Rules of Professional Conduct
IA,11D,11.100,,,[Reserved]
IA,11D,,,,CLIENT-PRACTITIONER RELATIONSHIP
IA,11D,11.101,,,Competence.
IA,11D,11.102,,,Scope of representation and allocation of authority between client and practitioner.
IA,11D,11.103,,,Diligence.
IA,11D,11.104,,,Communication.
IA,11D,11.105,,,Fees.
IA,11D,11.106,,,Confidentiality of information.
IA,11D,11.107,,,Conflict of interest; Current clients.
IA,11D,11.108,,,Conflict of interest; Current clients; Specific rules.
IA,11D,11.109,,,Duties to former clients.
IA,11D,11.110,,,Imputation of conflicts of interest; General rule.
IA,11D,11.111,,,Former or current Federal Government employees.
IA,11D,11.112,,,"Former judge, arbitrator, mediator or other third-party neutral."
IA,11D,11.113,,,Organization as client.
IA,11D,11.114,,,Client with diminished capacity.
IA,11D,11.115,,,Safekeeping property.
IA,11D,11.116,,,Declining or terminating representation.
IA,11D,11.117,,,Sale of law practice.
IA,11D,11.118,,,Duties to prospective client.
IA,11D,11.119,,,- 11.200 [Reserved]
IA,11D,,,,COUNSELOR
IA,11D,11.201,,,Advisor.
IA,11D,11.202,,,[Reserved]
IA,11D,11.203,,,Evaluation for use by third persons.
IA,11D,11.204,,,Practitioner serving as third-party neutral.
IA,11D,11.205,,,- 11.300 [Reserved]
IA,11D,,,,ADVOCATE
IA,11D,11.301,,,Meritorious claims and contentions.
IA,11D,11.302,,,Expediting proceedings.
IA,11D,11.303,,,Candor toward the tribunal.
IA,11D,11.304,,,Fairness to opposing party and counsel.
IA,11D,11.305,,,Impartiality and decorum of the tribunal.
IA,11D,11.306,,,Trial publicity.
IA,11D,11.307,,,Practitioner as witness.
IA,11D,11.308,,,[Reserved]
IA,11D,11.309,,,Advocate in nonadjudicative proceedings.
IA,11D,11.310,,,- 11.400 [Reserved]
IA,11D,,,,TRANSACTIONS WITH PERSONS OTHER THAN CLIENTS
IA,11D,11.401,,,Truthfulness in statements to others.
IA,11D,11.402,,,Communication with person represented by a practitioner.
IA,11D,11.403,,,Dealing with unrepresented person.
IA,11D,11.404,,,Respect for rights of third persons.
IA,11D,11.405,,,- 11.500 [Reserved]
IA,11D,,,,LAW FIRMS AND ASSOCIATIONS
IA,11D,11.501,,,"Responsibilities of partners, managers, and supervisory practitioners."
IA,11D,11.502,,,Responsibilities of a subordinate practitioner.
IA,11D,11.503,,,Responsibilities regarding non-practitioner assistance.
IA,11D,11.504,,,Professional independence of a practitioner.
IA,11D,11.505,,,Unauthorized practice of law.
IA,11D,11.506,,,Restrictions on right to practice.
IA,11D,11.507,,,Responsibilities regarding law-related services.
IA,11D,11.508,,,- 11.700 [Reserved]
IA,11D,,,,INFORMATION ABOUT LEGAL SERVICES
IA,11D,11.701,,,Communications concerning a practitioner’s services.
IA,11D,11.702,,,Advertising.
IA,11D,11.703,,,Direct contact with prospective clients.
IA,11D,11.704,,,Communication of fields of practice and specialization.
IA,11D,11.705,,,Firm names and letterheads.
IA,11D,11.706,,,- 11.800 [Reserved]
IA,11D,,,,MAINTAINING THE INTEGRITY OF THE PROFESSION
IA,11D,11.801,,,"Registration, recognition and disciplinary matters."
IA,11D,11.802,,,Judicial and legal officials.
IA,11D,11.803,,,Reporting professional misconduct.
IA,11D,11.804,,,Misconduct.
IA,11D,11.805,,,- 11.900 [Reserved]
IA,11D,11.901,,,Savings clause.
IA,11D,,,,Index II RULES RELATING TO REPRESENTATION OF OTHERS BEFORE THE UNITED STATES PATENT AND TRADEMARK OFFICE
IA,41,,,,PRACTICE BEFORE THE PATENT TRIAL AND APPEAL BOARD
IA,41A,,,,General Provisions
IA,41A,41.1,,,Policy.
IA,41A,41.2,,,Definitions.
IA,41A,41.3,,,Petitions.
IA,41A,41.4,,,Timeliness.
IA,41A,41.5,,,Counsel.
IA,41A,41.6,,,Public availability of Board records.
IA,41A,41.7,,,Management of the record.
IA,41A,41.8,,,Mandatory notices.
IA,41A,41.9,,,Action by owner.
IA,41A,41.9,,(pre-AIA),Action by owner.
IA,41A,41.10,,,Correspondence addresses.
IA,41A,41.11,,,Ex parte communications in inter partes proceedings.
IA,41A,41.12,,,Citation of authority.
IA,41A,41.20,,,Fees.
IA,41B,,,,Ex Parte Appeals
IA,41B,41.30,,,Definitions.
IA,41B,41.31,,,Appeal to Board.
IA,41B,41.33,,,Amendments and affidavits or other Evidence after appeal.
IA,41B,41.35,,,Jurisdiction over appeal.
IA,41B,41.37,,,Appeal brief.
IA,41B,41.39,,,Examiner’s answer.
IA,41B,41.40,,,Tolling of time period to file a reply brief.
IA,41B,41.41,,,Reply brief.
IA,41B,41.43,,,[Removed]
IA,41B,41.45,,,Appeal forwarding fee.
IA,41B,41.47,,,Oral hearing.
IA,41B,41.50,,,Decisions and other actions by the Board.
IA,41B,41.52,,,Rehearing.
IA,41B,41.54,,,Action following decision.
IA,41C,,,,
IA,41C,41.60,,,Definitions.
IA,41C,41.61,,,Notice of appeal and cross appeal to Board.
IA,41C,41.63,,,Amendments and affidavits or other evidence after appeal.
IA,41C,41.64,,,Jurisdiction over appeal in
IA,41C,41.66,,,Time for filing briefs.
IA,41C,41.67,,,Appellant’s brief.
IA,41C,41.68,,,Respondent’s brief.
IA,41C,41.69,,,Examiner’s answer.
IA,41C,41.71,,,Rebuttal brief.
IA,41C,41.73,,,Oral hearing.
IA,41C,41.77,,,Decisions and other actions by the Board.
IA,41C,41.79,,,Rehearing.
IA,41C,41.81,,,Action following decision.
IA,41D,,,,Contested Cases
IA,41D,41.100,,,Definitions.
IA,41D,41.101,,,Notice of proceeding.
IA,41D,41.102,,,Completion of examination.
IA,41D,41.103,,,Jurisdiction over involved files.
IA,41D,41.104,,,Conduct of contested cases.
IA,41D,41.106,,,Filing and service.
IA,41D,41.108,,,Lead counsel.
IA,41D,41.109,,,Access to and copies of Office records.
IA,41D,41.110,,,Filing claim information.
IA,41D,41.120,,,Notice of basis for relief.
IA,41D,41.121,,,Motions.
IA,41D,41.122,,,Oppositions and replies.
IA,41D,41.123,,,Default filing times.
IA,41D,41.124,,,Oral argument.
IA,41D,41.125,,,Decision on motions.
IA,41D,41.126,,,Arbitration.
IA,41D,41.127,,,Judgment.
IA,41D,41.128,,,Sanctions.
IA,41D,41.150,,,Discovery.
IA,41D,41.151,,,Admissibility.
IA,41D,41.152,,,Applicability of the Federal Rules of Evidence.
IA,41D,41.153,,,Records of the Office.
IA,41D,41.154,,,Form of evidence.
IA,41D,41.155,,,Objection; motion to exclude; motion in limine.
IA,41D,41.156,,,Compelling testimony and production.
IA,41D,41.157,,,Taking testimony.
IA,41D,41.158,,,Expert testimony; tests and data.
IA,41E,,,,Patent Interferences
IA,41E,41.200,,,Procedure; pendency.
IA,41E,41.201,,,Definitions.
IA,41E,41.202,,,Suggesting an interference.
IA,41E,41.203,,,Declaration.
IA,41E,41.204,,,Notice of basis for relief.
IA,41E,41.205,,,Settlement agreements.
IA,41E,41.206,,,Common interests in the invention.
IA,41E,41.207,,,Presumptions.
IA,41E,41.208,,,Content of substantive and responsive motions.
IA,42,,,,TRIAL PRACTICE BEFORE THE PATENT TRIAL AND APPEAL BOARD
IA,42A,,,,Trial Practice and Procedure
IA,42A,,,,GENERAL
IA,42A,42.1,,,Policy.
IA,42A,42.2,,,Definitions.
IA,42A,42.3,,,Jurisdiction.
IA,42A,42.4,,,Notice of trial.
IA,42A,42.5,,,Conduct of the proceeding.
IA,42A,42.6,,,"Filing of documents, including exhibits; service."
IA,42A,42.7,,,Management of the record.
IA,42A,,,,
IA,42A,42.9,,,Action by patent owner.
IA,42A,42.10,,,Counsel.
IA,42A,42.11,,,Duty of candor; signing papers; representations to the Board; sanctions.
IA,42A,42.12,,,Sanctions.
IA,42A,42.13,,,Citation of authority.
IA,42A,42.14,,,Public availability.
IA,42A,,,,FEES
IA,42A,42.15,,,Fees.
IA,42A,,,,PETITION AND MOTION PRACTICE
IA,42A,42.20,,,Generally.
IA,42A,42.21,,,Notice of basis for relief.
IA,42A,42.22,,,Content of petitions and motions.
IA,42A,42.23,,,Oppositions and replies.
IA,42A,42.24,,,"Type-volume or page-limits for petitions, motions, oppositions, and replies."
IA,42A,42.25,,,Default filing times.
IA,42A,,,,TESTIMONY AND PRODUCTION
IA,42A,42.51,,,Discovery.
IA,42A,42.52,,,Compelling testimony and production.
IA,42A,42.53,,,Taking testimony.
IA,42A,42.54,,,Protective order.
IA,42A,42.55,,,Confidential information in a petition.
IA,42A,42.56,,,Expungement of confidential information.
IA,42A,42.61,,,Admissibility.
IA,42A,42.62,,,Applicability of the Federal rules of evidence.
IA,42A,42.63,,,Form of evidence.
IA,42A,42.64,,,Objection; motion to exclude.
IA,42A,42.65,,,Expert testimony; tests and data.
IA,42A,,,,"ORAL ARGUMENT, DECISION, AND SETTLEMENT"
IA,42A,42.70,,,Oral argument.
IA,42A,42.71,,,Decision on petitions or motions.
IA,42A,42.72,,,Termination of trial.
IA,42A,42.73,,,Judgment.
IA,42A,42.74,,,Settlement.
IA,42A,,,,CERTIFICATE
IA,42A,42.80,,,Certificate.
IA,42B,,,,
IA,42B,,,,GENERAL
IA,42B,42.100,,,Procedure; pendency.
IA,42B,42.101,,,Who may petition for
IA,42B,42.102,,,Time for filing.
IA,42B,42.10,,,3
IA,42B,42.104,,,Content of petition.
IA,42B,42.105,,,Service of petition.
IA,42B,42.106,,,Filing date.
IA,42B,42.107,,,Preliminary response to petition.
IA,42B,,,,INSTITUTING
IA,42B,42.108,,,Institution of
IA,42B,,,,AFTER INSTITUTION OF
IA,42B,42.120,,,Patent owner response.
IA,42B,42.121,,,Amendment of the patent.
IA,42B,42.122,,,Multiple proceedings and Joinder.
IA,42B,42.123,,,Filing of supplemental information.
IA,42C,,,,Post-Grant Review
IA,42C,,,,GENERAL
IA,42C,42.200,,,Procedure; pendency.
IA,42C,42.201,,,Who may petition for a post-grant review.
IA,42C,42.202,,,Time for filing.
IA,42C,42.203,,,Post-grant review fee.
IA,42C,42.204,,,Content of petition.
IA,42C,42.205,,,Service of petition.
IA,42C,42.206,,,Filing date.
IA,42C,42.207,,,Preliminary response to petition.
IA,42C,,,,INSTITUTING POST-GRANT REVIEW
IA,42C,42.208,,,Institution of post-grant review.
IA,42C,,,,AFTER INSTITUTION OF POST-GRANT REVIEW
IA,42C,42.220,,,Patent owner response.
IA,42C,42.221,,,Amendment of the patent.
IA,42C,42.222,,,Multiple proceedings and Joinder.
IA,42C,42.223,,,Filing of supplemental information.
IA,42C,42.224,,,Discovery.
IA,42D,,,,Transitional Program for Covered Business Method Patents
IA,42D,42.300,,,Procedure; pendency.
IA,42D,42.301,,,Definitions.
IA,42D,42.302,,,Who may petition for a covered business method patent review.
IA,42D,42.303,,,Time for filing.
IA,42D,42.304,,,Content of petition.
IA,42E,,,,Derivation
IA,42E,,,,GENERAL
IA,42E,42.400,,,Procedure; pendency
IA,42E,42.401,,,Definitions.
IA,42E,42.402,,,Who may file a petition for a derivation proceeding.
IA,42E,42.403,,,Time for filing.
IA,42E,42.404,,,Derivation fee.
IA,42E,42.405,,,Content of petition.
IA,42E,42.406,,,Service of petition.
IA,42E,42.407,,,Filing date.
IA,42E,,,,INSTITUTING DERIVATION PROCEEDING
IA,42E,42.408,,,Institution of derivation proceeding.
IA,42E,,,,AFTER INSTITUTION OF DERIVATION PROCEEDING
IA,42E,42.409,,,Settlement agreements.
IA,42E,42.410,,,Arbitration.
IA,42E,42.411,,,Common interests in the invention.
IA,42E,42.412,,,Public availability of Board records.
IA,90,,,,JUDICIAL REVIEW OF PATENT TRIAL AND APPEAL BOARD DECISIONS
IA,90,90.1,,,Scope.
IA,90,90.2,,,Notice; service.
IA,90,90.3,,,Time for appeal or civil action.
IB,90,,,,ADMINISTRATION
IB,102,,,,DISCLOSURE OF GOVERNMENT INFORMATION
IB,102A,,,,Freedom of Information Act
IB,102A,102.1,,,General.
IB,102A,102.2,,,Public reference facilities.
IB,102A,102.3,,,Records under FOIA.
IB,102A,102.4,,,Requirements for making requests.
IB,102A,102.5,,,Responsibility for responding to requests.
IB,102A,102.6,,,Time limits and expedited processing.
IB,102A,102.7,,,Responses to requests.
IB,102A,102.9,,,Business Information.
IB,102A,102.10,,,Appeals from initial determinations or untimely delays.
IB,102A,102.11,,,Fees.
IB,102B,,,,Privacy Act
IB,102B,102.21,,,Purpose and scope.
IB,102B,102.22,,,Definitions.
IB,102B,102.23,,,Procedures for making inquiries.
IB,102B,102.24,,,Procedures for making requests for records.
IB,102B,102.25,,,Disclosure of requested records to individuals.
IB,102B,102.26,,,Special procedures: Medical records.
IB,102B,102.27,,,Procedures for making requests for correction or amendment.
IB,102B,102.28,,,Review of requests for correction or amendment.
IB,102B,102.29,,,Appeal of initial adverse determination on correction or amendment.
IB,102B,102.30,,,Disclosure of record to person other than the individual to whom it pertains.
IB,102B,102.31,,,Fees.
IB,102B,102.32,,,Penalties.
IB,102B,102.33,,,General exemptions.
IB,102B,102.34,,,Specific exemptions.
IB,102B,,,,
IB,104,,,,LEGAL PROCESSES
IB,104A,,,,General Provisions
IB,104A,104.1,,,Definitions.
IB,104A,104.2,,,Address for mail and service; telephone number.
IB,104A,104.3,,,Waiver of rules.
IB,104A,104.4,,,Relationship of this Part to the Federal Rules of Civil or Criminal Procedure.
IB,104B,,,,Service of Process
IB,104B,104.11,,,Scope and purpose.
IB,104B,104.12,,,Acceptance of service of process.
IB,104C,,,,Employee Testimony and Production of Documents in Legal Proceedings
IB,104C,104.21,,,Scope and purpose.
IB,104C,104.22,,,Demand for testimony or production of documents.
IB,104C,104.23,,,Expert or opinion testimony.
IB,104C,104.24,,,Demands or requests in legal proceedings for records protected by confidentiality statutes.
IB,104D,,,,Employee Indemnification
IB,104D,104.31,,,Scope.
IB,104D,104.32,,,Procedure for requesting indemnification.
IB,104E,,,,Tort Claims
IB,104E,104.41,,,Procedure for filing claims.
IB,104E,104.42,,,Finality of settlement or denial of claims.
IC,104E,,,,PROTECTION OF FOREIGN MASK WORKS
IC,150,,,,REQUESTS FOR PRESIDENTIAL PROCLAMATIONS PURSUANT TO 17 U.S.C. 902(a)(2)
IC,150,150.1,,,Definitions.
IC,150,150.2,,,Initiation of evaluation.
IC,150,150.3,,,Submission of requests.
IC,150,150.4,,,Evaluation.
IC,150,150.5,,,Duration of proclamation.
IC,150,150.6,,,Mailing address.
